log_file,task,model_a,model_b,num_rounds,cooperation_rate_a,cooperation_rate_b,mutual_cooperation_rate,mutual_defection_rate,total_score_a,total_score_b,choices_a,choices_b,strategy_a,strategy_b
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-05+00-00_pd-1round_hV3YTPwhMTcwbCtSz5ADnn.eval,pd_1round,claude-sonnet-4-6,claude-sonnet-4-6,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-20+00-00_pd-1round_dMsr6zFjgRmnPkcVoniDqB.eval,pd_1round,claude-sonnet-4-6,gpt-5-mini,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-20+00-00_pd-1round_dMsr6zFjgRmnPkcVoniDqB.eval,pd_1round,claude-sonnet-4-6,gpt-5-mini,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-20+00-00_pd-1round_dMsr6zFjgRmnPkcVoniDqB.eval,pd_1round,claude-sonnet-4-6,gpt-5-mini,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-20+00-00_pd-1round_dMsr6zFjgRmnPkcVoniDqB.eval,pd_1round,claude-sonnet-4-6,gpt-5-mini,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
2026-03-12T05-37-20+00-00_pd-1round_dMsr6zFjgRmnPkcVoniDqB.eval,pd_1round,claude-sonnet-4-6,gpt-5-mini,1,0.0,0.0,0.0,1.0,1,1,defect,defect,single_defect,single_defect
